Įmonės pavadinimas,Subtitras,Adresas,Veiklos sritis,Aprašymas,Kontaktinė informacija
"Greater Outdoors
","
HIATUS, COLUMBIA, DIDRIKSONS, JACK WOLFSKIN
","Ozo g. 18, ( 2 aukštas ), LT-08243 Vilnius.","
Veiklos sritys: apranga, drabužiai; avalynė, batai; didmeninė prekyba; importas; interneto parduotuvės; mažmeninė prekyba; pramogos ir poilsis; sporto, turizmo reikmenys; vaikų prekės.
","
UAB „Greater Outdoors“ valdo specializuotas parduotuves „Hiatus“ ir „Hiatus Go“, kuriose prekiaujama pasaulyje gerai žinomų ir pripažintų prekės ženklų „Columbia“, „Didriksons“, „Jack Wolfskin"", „Picture“, „Zo-on“, SIGG ir kt. aktyviam laisvalaikiui skirtais drabužiais, avalyne ir aksesuarais vyrams, moterims ir...
",https://rekvizitai.vz.lt/imone/greater_outdoors/
"BALTIJOS DIDMENA
","
MemberShop
","Trakų g. 3, LT-01132 Vilnius.","
Veiklos sritys: interneto parduotuvės; apranga, drabužiai; kosmetika, parfumerija.
","
LYDERIAUJANTIS MADOS PREKIŲ IŠPARDAVIMŲ KLUBAS BALTIJOS ŠALYSE! Žymiausi prekiniai ženklai su nuolaida iki -80%* MemberShop.lt – internetinis išpardavimų klubas, vienijantis daugiau nei 0,8 mln. narių net keturiose valstybėse: Lietuvoje, Latvijoje, Estijoje ir Lenkijoje. Registruotiems vartotojams suteikiama...
",https://rekvizitai.vz.lt/imone/parfum_express_parduotuve_baltijos_didmena/
"B projektai
","
ZUZA.LT
","Latvių g. 19, LT-08113 Vilnius.","
Veiklos sritys: interneto parduotuvės; apranga, drabužiai; buitinė technika; didmeninė prekyba; įrankiai; kompiuteriai ir programinė įranga; mažmeninė prekyba; sporto, turizmo reikmenys; vaikų prekės.
","
Zuza.lt - tai pirkimo platforma, kurioje klientai gali nusipirkti viską, ko jiems reikia, pasirinkdami iš daugiau nei 250 000 000 prekių. Siūlome platų prekių asortimentą geriausiomis rinkos kainomis. Šioje elektroninėje parduotuvėje galite rasti viską, tokiose kategorijose kaip: elektronika, namas ir sodas, mada...
",https://rekvizitai.vz.lt/imone/b_projektai/
"Baltijos arsenalas
","
""Armijai ir civiliams""
","Puodžių g. 2-2, LT-44288 Kaunas.","
Veiklos sritys: sporto, turizmo reikmenys; apranga, drabužiai; avalynė, batai; darbo apranga; darbo sauga; didmeninė prekyba; ginklai, savisaugos priemonės; interneto parduotuvės; mažmeninė prekyba; žūklės ir medžioklės reikmenys, paslaugos.
","
Turizmo inventorius (čiužiniai, termosai, indai) - didmeninė, mažmeninė prekyba. Drabužiai, avalynė medžiotojams, žvejams, turistams, kareiviams. Nauji drabužiai ir amunicija iš užsienio armijos sandėlių. Kareiviški indentifikacijos žetonai (dogtagai). Alpinizmo virvės. Darbo avalynė ir apranga. Karinė apranga ir...
",https://rekvizitai.vz.lt/imone/armijai_ir_civiliams_baltijos_arsenalas/
"Namų tekstilė
","
Natūralaus pluošto tekstilės gaminiai
","Fabriko g. 48, LT-55111 Jonava.","
Veiklos sritys: audiniai, patalynė; apranga, drabužiai; didmeninė prekyba; dovanos; interneto parduotuvės; mažmeninė prekyba; pirtys ir baseinai; siuvimas, medžiagos; vaikų prekės.
","
UAB “Namų tekstilė” pradėjo savo veiklą nuo 2003m. spalio mėn. Pagrindinis mūsų įmonės tikslas – įvairių tekstilės gaminių, kurių pagrindą sudaro natūralus pluoštas (pvz.: natūrali avies vilna, linas ar medvilnė) gamyba. 60 % visų UAB “Namų tekstilė” klientų sudaro viešbučiai, ligoninės, darželiai ir kitos įmonės...
",https://rekvizitai.vz.lt/imone/namu_tekstile/
"A grupė
","
Lininiai namų tekstilės gaminiai
","Ruklos g. 14, LT-55198 Jonava.","
Veiklos sritys: audiniai, patalynė; apranga, drabužiai; didmeninė prekyba; dovanos; eksportas; gamyba; mažmeninė prekyba; pirtys ir baseinai; siuvimas, medžiagos.
","
„A grupė“- lino tekstilė Jūsų šeimai ir namams. UAB „A grupė“ – tai Jonavoje įsikūręs audimo fabrikas, gyvuojantis nuo 1990. Įmonėje dirba apie 50 darbuotojų. Fabrike yra audimo, apdailos ir siuvimo cechai. „A grupėje“ audžiami lininiai, puslininiai, lygūs bei kilpiniai audiniai. Vienas iš didžiausių įmonės...
",https://rekvizitai.vz.lt/imone/a_grupe/
"RM STOKAS
","
Didmeninė prekyba drabužiais, avalyne, aksesuarais
","Žalioji g. 1, Eišiškės, LT-17176 Šalčininkų r.","
Veiklos sritys: apranga, drabužiai; avalynė, batai; didmeninė prekyba; eksportas; galanterija; importas; vaikų prekės.
","
UAB “RM Stokas” pagrindinė veikla - didmeninė prekyba vyriškais, moteriškais, vaikiškais drabužiais bei aksesuarais. Didmeninė prekyba STOCK kategorijos GEOX, DIESEL, ir MOSCHINO, ANTONY MORATO, TOMMY HILFIGER, bei RINASCIMENTO, STATE OF ART ir GANT, CAMEL, CALAMAR, JUICY COUTURE, BLUMARINE, GUESS, STEFANEL, CALVIN...
",https://rekvizitai.vz.lt/imone/rm_stokas/
"Klasikinė tekstilė, A. R. Baumilų TŪB
","
Lininių audinių audimas ir siuvimas Kaune
","Brastos g. 9, LT-47184 Kaunas.","
Veiklos sritys: audiniai, patalynė; apranga, drabužiai; didmeninė prekyba; dovanos; eksportas; gamyba; siuvimas, medžiagos.
","
A.R. Baumilų TŪB ,,Klasikinė tekstilė“ - sėkmingai vykdanti veiklą nuo 1991m. lino tekstilės gamybinė įmonė Kaune. Šiuo metu įmonėje dirba apie 300 darbuotojų. Gamybinis plotas - 16 000 kv.m. Pagrindinės įmonės veiklos kryptys: lininių audinių audimas, audinių apdaila, skaitmeninis marginimas, lininių gaminių...
",https://rekvizitai.vz.lt/imone/klasikine_tekstile_a_r_baumilu_tub/
"AM Tekstilė
","
","Vilkpėdės g. 8C, LT-03151 Vilnius.","
Veiklos sritys: audiniai, patalynė; apranga, drabužiai; chemijos pramonė, gaminiai; gamyba; siuvimas, medžiagos; trąšos.
","
UAB „Danspin“ – beveik 20 metų veikianti Danijos kapitalo tekstilės įmonė Raseinių rajone, Andrušaičiuose. Mūsų produkcija – tai iš natūralios vilnos gaminami siūlai, skirti kilimų gamybai. Šie kilimai puošia privačius namus, viešbučius, kruizinius laivus, lėktuvų salonus ir verslo biurus. Teikiame virš 400 verpalų...
",https://rekvizitai.vz.lt/imone/am_tekstile/
"Danspin
","
Vilnonių verpalų gamyba
","Danų g. 10, Andrušaičių k., LT-60162 Raseinių r.","
Veiklos sritys: gamyba; eksportas.
","
Odinių rūbų siuvimas, kailinių siuvimas, rankinių siuvimas Drabužių ir aksesuarų siuvimas iš odos ir kailio pagal individualius užsakymus. Dirbame ir su tekstiliniais audiniais.Konsultuojame pasirenkant tinkamą gaminio modelį, tinkamą odą ar kailį. Siuvimas, taisymas odinių rūbų, kailio gaminių, galanterijos...
",https://rekvizitai.vz.lt/imone/danspin/
